labels  theta   phi     radius
Fp1     -90     -72     1
Fp2      90      72     1
F3      -60     -51     1
F4       60      51     1
C3      -45       0     1
C4       45       0     1
P3      -60      51     1
P4       60     -51     1
O1      -90      72     1
O2       90     -72     1
F7      -90     -36     1
F8       90      36     1
T7      -90       0     1
T8       90       0     1
P7      -90      36     1
P8       90     -36     1
Cz        0       0     1
Pz       45     -90     1
FC1     -31     -46     1
FC2      31      46     1
CP1     -31      46     1
CP2      31     -46     1
FC5     -69     -21     1
FC6      69      21     1
CP5     -69      21     1
CP6      69     -21     1
FT9    -113     -18     1
FT10    113      18     1
TP9    -113      18     1
TP10    113     -18     1
F1      -49     -68     1
F2       49      68     1
C1      -23       0     1
C2       23       0     1
P1      -49      68     1
P2       49     -68     1
AF3     -74     -68     1
AF4      74      68     1
FC3     -49     -29     1
FC4      49      29     1
CP3     -49      29     1
CP4      49     -29     1
PO3     -74      68     1
PO4      74     -68     1
F5      -74     -41     1
F6       74      41     1
C5      -68       0     1
C6       68       0     1
P5      -74      41     1
P6       74     -41     1
AF7     -90     -54     1
AF8      90      54     1
FT7     -90     -18     1
FT8      90      18     1
TP7     -90      18     1
TP8      90     -18     1
PO7     -90      54     1
PO8      90     -54     1
CPz      22     -90     1
POz      67     -90     1
Oz       90     -90     1
Afz      67      90     1
FCz      23      90     1
